Arrival Rate (pps),Simulation Duration (s),Flow Direction,Packets Sent,Packets Received,Throughput,Throughput (pps),Jitter,Lost_Packets
100,1,STA1->AP,100,100,1.199,100,10.63792554099553,0
1100,1,STA1->AP,1091,1091,13.089,1091,1.202488562314201,0
2100,1,STA1->AP,2045,2045,24.538,2045,0.849045722410524,0
3100,1,STA1->AP,2186,2186,26.229,2186,0.871256573770091,0
4100,1,STA1->AP,3964,3964,47.563,3964,0.645997918637981,0
5100,1,STA1->AP,4912,4912,58.932,4912,0.562290407308995,0
6100,1,STA1->AP,5892,5892,70.688,5892,0.5747709978025664,77
7100,1,STA1->AP,1672,1672,20.060,1672,1.1938760908562611,0
8100,1,STA1->AP,7579,7579,90.941,7579,0.46576066086052587,0
9100,1,STA1->AP,8330,8330,99.951,8330,0.4566865589122213,0
10100,1,STA1->AP,8451,8451,101.401,8451,0.4654864303408822,0
11100,1,STA1->AP,8780,8780,105.335,8780,0.425950609379817,0
12100,1,STA1->AP,1852,1852,22.220,1852,0.6371015706377017,0
13100,1,STA1->AP,7910,7910,94.902,7910,0.413994487053672,0
14100,1,STA1->AP,8026,8026,96.301,8026,0.4402721151068198,0
15100,1,STA1->AP,6934,6934,83.200,6934,0.48200717985201413,0
16100,1,STA1->AP,2916,2916,34.988,2916,0.43233387866423334,0
17100,1,STA1->AP,7521,7521,90.243,7521,0.4673197915872995,0
18100,1,STA1->AP,8054,8054,96.639,8054,0.43661703343119673,0
19100,1,STA1->AP,7398,7398,88.766,7398,0.4861903601288272,0
20100,1,STA1->AP,5402,5402,64.819,5402,0.7890610696717992,0
21100,1,STA1->AP,5080,5080,60.956,5080,0.8368029913919077,0
22100,1,STA1->AP,8235,8235,98.811,8235,0.4328484827949373,0
23100,1,STA1->AP,7481,7481,89.751,7481,0.4438058480479163,0
24100,1,STA1->AP,8120,8120,97.424,8120,0.4330278587451841,0
25100,1,STA1->AP,2423,2423,29.073,2423,1.2823823942990549,34
26100,1,STA1->AP,7851,7851,94.196,7851,0.47649871834520613,62
27100,1,STA1->AP,8434,8434,101.198,8434,0.41855956446538356,0
28100,1,STA1->AP,8751,8751,104.989,8751,0.510751042035773,0
29100,1,STA1->AP,2351,2351,28.208,2351,0.4322885212423549,11
30100,1,STA1->AP,8562,8562,102.735,8562,0.4417271872376011,0
31100,1,STA1->AP,9592,9592,115.093,9592,0.470669865271346,0
32100,1,STA1->AP,7444,7444,89.310,7444,0.470585881739397,0
33100,1,STA1->AP,8307,8307,99.664,8307,0.42369994233672137,0
34100,1,STA1->AP,3045,3045,36.537,3045,1.192957217642502,0
35100,1,STA1->AP,8437,8437,101.235,8437,0.4618879799514987,0
36100,1,STA1->AP,8332,8332,99.974,8332,0.471759006090917,0
37100,1,STA1->AP,7464,7464,89.561,7464,0.038422373672228935,0
38100,1,STA1->AP,1861,1861,22.330,1861,1.0937274331379117,0
39100,1,STA1->AP,6729,6729,80.740,6729,0.4539788227263984,0
40100,1,STA1->AP,8495,8495,101.933,8495,0.4335098106040884,0
41100,1,STA1->AP,8150,8150,97.790,8150,0.4278779494831813,0
42100,1,STA1->AP,2887,2887,34.638,2887,1.1991519077653938,0
43100,1,STA1->AP,8750,8750,104.992,8750,0.49282168354319456,0
44100,1,STA1->AP,8591,8591,103.083,8591,0.4440202858675056,0
45100,1,STA1->AP,8631,8631,103.562,8631,0.529463911537225,0
46100,1,STA1->AP,8318,8318,99.809,8318,0.4796515384577828,0
47100,1,STA1->AP,2697,2697,32.360,2697,1.1473729010169684,0
48100,1,STA1->AP,8838,8838,106.037,8838,0.43338925492044644,0
49100,1,STA1->AP,7891,7891,94.683,7891,0.3626421611182521,154
